index,word,score,data_frequency
2035,VITAE,8,1754634
2036,VITAL,8,14166642
2037,VITRO,8,5000420
2038,VIVID,12,4479514
2039,VOCAL,10,9082826
2040,VODKA,13,2155662
2041,VOGUE,9,2159792
2042,VOICE,10,64600528
2043,VOLTS,8,2454421
2044,VOTED,9,10746027
2045,VOTER,8,4905374
2046,VOTES,8,32059663
2047,WACKY,17,1861879
2048,WAFER,11,1554217
2049,WAGES,9,8737438
2050,WAGON,9,5198530
2051,WAIST,8,5013500
2052,WAITS,8,2362199
2053,WAIVE,11,1789027
2054,WALES,8,29821525
2055,WALKS,12,7744070
2056,WALLA,8,1535192
2057,WALLS,8,14837851
2058,WALLY,11,1459126
2059,WALTZ,17,1723021
2060,WANNA,8,10232302
2061,WANTS,8,32538214
2062,WARDS,9,1759766
2063,WAREZ,17,2375829
2064,WARNS,8,2775722
2065,WASTE,8,41089558
2066,WATCH,13,92006970
2067,WATER,8,215178488
2068,WATTS,8,7423674
2069,WAVES,11,11006010
2070,WEARS,8,2237421
2071,WEARY,11,1632945
2072,WEAVE,11,1965230
2073,WEBER,10,4692730
2074,WEDGE,10,3162851
2075,WEEDS,9,2634421
2076,WEEKS,12,73571749
2077,WEIGH,12,3587993
2078,WEIRD,9,11556427
2079,WELCH,13,3031408
2080,WELLS,8,14073676
2081,WELSH,11,7346867
2082,WHALE,11,5928569
2083,WHARF,14,2226856
2084,WHATS,11,6462263
2085,WHEAT,11,8685589
2086,WHEEL,11,25342937
2087,WHERE,11,360468339
2088,WHICH,16,810514085
2089,WHILE,11,226194991
2090,WHITE,11,209863729
2091,WHOLE,11,85202530
2092,WHORE,11,5199489
2093,WHOSE,11,43634263
2094,WIDER,9,8186703
2095,WIDOW,12,3804620
2096,WIDTH,12,25182453
2097,WIGAN,9,1670281
2098,WIGHT,12,2190271
2099,WILLS,8,4376548
2100,WILLY,11,2273954
2101,WINDS,9,12628386
2102,WINDY,12,2162674
2103,WINES,8,8939582
2104,WINGS,9,16044458
2105,WIPED,11,1491628
2106,WIRED,9,8371548
2107,WIRES,8,5401677
2108,WITCH,13,6671560
2109,WITTY,11,1753886
2110,WIVES,11,6031432
2111,WOMAN,10,70613606
2112,WOMEN,10,242520455
2113,WOODS,9,14647735
2114,WOODY,12,4355633
2115,WORDS,9,90910143
2116,WORKS,12,98581698
2117,WORLD,9,431934249
2118,WORMS,10,4027528
2119,WORRY,11,13243591
2120,WORSE,8,15677739
2121,WORST,8,16975343
2122,WORTH,11,48075237
2123,WOULD,9,572644147
2124,WOUND,9,5820050
2125,WOVEN,11,4248524
2126,WRAPS,10,2781569
2127,WRATH,11,2486700
2128,WRECK,14,2447935
2129,WRIST,8,6143580
2130,WRITE,8,126645151
2131,WRONG,9,49156828
2132,WROTE,8,56421594
2133,XEROX,19,6022102
2134,YACHT,13,5932756
2135,YAHOO,11,155733641
2136,YARDS,9,14733347
2137,YATES,8,1980900
2138,YEARS,8,337841309
2139,YEAST,8,6083904
2140,YIELD,9,15022494
2141,YOUNG,9,136341684
2142,YOURS,8,20672809
2143,YOUTH,11,51426255
2144,YUMMY,15,1609762
2145,ZAIRE,14,2154891
2146,ZEBRA,16,2902469
2147,ZONES,14,9719114
